"method","target","itempool_size","replication","rmse","overexposed","utilization_01","utilization_03","utilization_05","uniformity","max_spike","max_spike_1","max_spike_2","max_spike_3","max_spike_4","max_spike_5"
"no-exposure-control","0.25","900",46,0.261742097739368,0.0433333333333333,0.19,0.173333333333333,0.155555555555556,0.486892211945183,1,1,1,1,1,1
"no-exposure-control","0.25","900",47,0.268961228070106,0.0433333333333333,0.191111111111111,0.173333333333333,0.154444444444444,0.494769055879834,1,1,1,1,1,1
"no-exposure-control","0.25","900",48,0.268490442355582,0.0433333333333333,0.191111111111111,0.173333333333333,0.154444444444444,0.494860698625511,1,1,1,1,1,1
"no-exposure-control","0.25","900",49,0.266094957331627,0.0433333333333333,0.19,0.175555555555556,0.154444444444444,0.495321362066701,1,1,1,1,1,1
"no-exposure-control","0.25","900",50,0.262839849242721,0.0433333333333333,0.19,0.172222222222222,0.155555555555556,0.494537344058211,1,1,1,1,1,1
"no-exposure-control","0.25","900",51,0.264753977215093,0.0455555555555556,0.191111111111111,0.173333333333333,0.152222222222222,0.494760860991342,1,1,1,1,1,1
"no-exposure-control","0.25","900",52,0.261489381514529,0.0433333333333333,0.19,0.173333333333333,0.155555555555556,0.487641203529932,1,1,1,1,1,1
"no-exposure-control","0.25","900",53,0.265110514618476,0.0433333333333333,0.188888888888889,0.171111111111111,0.156666666666667,0.486347343494189,1,1,1,1,1,1
"no-exposure-control","0.25","900",54,0.263430850852519,0.0444444444444444,0.191111111111111,0.173333333333333,0.155555555555556,0.495016765044413,1,1,1,1,1,1
"no-exposure-control","0.25","900",55,0.26376323741994,0.0444444444444444,0.19,0.173333333333333,0.156666666666667,0.487716887575368,1,1,1,1,1,1
"no-exposure-control","0.25","900",56,0.263279443983907,0.0444444444444444,0.19,0.172222222222222,0.154444444444444,0.495173653619383,1,1,1,1,1,1
"no-exposure-control","0.25","900",57,0.261449854058774,0.0433333333333333,0.19,0.172222222222222,0.155555555555556,0.487108662003966,1,1,1,1,1,1
